timestamp          , model             , dataset, nrows, accuracy, f1    , co2eq_kg              , co2eq_codecarbon_kg   , cpu_power_hw_w, cpu_energy_hw_wh, training_time_s
2026-05-05 15:12:55, tune_RFC          , wine   , all  ,         , 0.9831, 0.000482361           , 0.00043482970337255076,        59.3098,         1.266039,           76.64
2026-05-05 15:26:31, tune_RFC          , credit , all  ,         , 0.8001, 0.010508384           , 0.009839054206119593  ,       121.7853,        27.581061,          815.08
2026-05-05 15:28:35, tune_XGB          , wine   , all  ,         , 0.9888, 0.00103858            , 0.0008888873347720863 ,        79.5314,         2.725931,          123.32
2026-05-05 15:30:45, tune_XGB          , credit , all  ,         , 0.8008, 0.001081039           , 0.001014463480691741  ,        78.632 ,         2.837372,          129.9
2026-05-05 16:20:45, tune_XGB          , higgs  , all  ,         , 0.7597, 0.02189185            , 0.05092263998403374   ,        68.9831,        57.458924,         2998.5
2026-05-05 16:21:32, tune_MLP          , wine   , all  ,         , 0.9943, 0.000388639           , 0.00025868201475339375,        78.7133,         1.02005 ,           46.48
2026-05-05 16:37:13, tune_MLP          , credit , all  ,         , 0.8044, 0.006343934           , 0.006628973477241173  ,        63.7087,        16.650746,          940.64
2026-05-09 16:00:59, tune_MLP          , higgs  , all  ,         , 0.7873, 2.14928884            , 2.470909030114778     ,        59.1345,      5641.178057,       343424.86
2026-05-09 16:01:14, LogisticRegression, wine   , all  ,   0.9887, 0.9888, 1.3724438506491475e-05, 5.243360396871851e-06 ,        49.8518,         0.024289,            0.04
2026-05-09 16:01:28, RandomForest      , wine   , all  ,   0.9832, 0.9831, 2.8836239497386603e-05, 1.4037363428167434e-05,        51.1789,         0.043034,            1.32
2026-05-09 16:01:40, XGBoost           , wine   , all  ,   0.9887, 0.9888, 2.0467568358959823e-05, 7.795457346292652e-06 ,        66.1714,         0.035956,            0.4
2026-05-09 16:01:54, XGBoost_GPU       , wine   , all  ,   0.9887, 0.9888, 5.122640550254018e-05 , 2.4447451218693934e-05,        70.634 ,         0.081192,            2.35
2026-05-09 16:02:12, MLP_PyTorch       , wine   , all  ,   0.9887, 0.9888, 5.8741610892582883e-05, 2.983678074054761e-05 ,        62.1292,         0.086316,            3.35
2026-05-09 16:02:33, LogisticRegression, credit , all  ,   0.8104, 0.7713, 6.052773569368319e-05 , 3.2428369501278175e-05,        53.0989,         0.082778,            3.92
2026-05-09 16:03:26, RandomForest      , credit , all  ,   0.8205, 0.8001, 0.0008315679631272405 , 0.0005274198849002593 ,       123.0509,         1.485529,           41.73
2026-05-09 16:03:40, XGBoost           , credit , all  ,   0.8207, 0.7996, 4.3346450892063095e-05, 2.3539962166809628e-05,        86.2537,         0.076753,            1.53
2026-05-09 16:03:54, XGBoost_GPU       , credit , all  ,   0.8218, 0.8008, 5.171694409484999e-05 , 2.4626052310841366e-05,        71.3184,         0.081183,            2.44
2026-05-09 16:04:55, MLP_PyTorch       , credit , all  ,   0.8179, 0.8038, 0.0006329919565136775 , 0.0003520967969802486 ,        60.3982,         0.824902,           47.57
2026-05-09 16:12:29, LogisticRegression, higgs  , all  ,   0.6417, 0.6372, 0.00514821406860351   , 0.002970118274185094  ,        53.3388,         6.487962,          436.13
2026-05-09 16:26:32, XGBoost           , higgs  , all  ,   0.7599, 0.7597, 0.014650080633925013  , 0.01048730890444674   ,       109.3005,        25.180021,          827.73
2026-05-09 16:28:14, XGBoost_GPU       , higgs  , all  ,   0.7599, 0.7597, 0.0021041093310555973 , 0.0015962061913617285 ,        67.7103,         1.726501,           90.18
2026-05-09 19:34:44, MLP_PyTorch       , higgs  , all  ,   0.7876, 0.7874, 0.1458914678446742    , 0.08428872032136916   ,        58.5194,       181.680688,        11174.95
2026-05-10 23:54:29,LogisticRegression,higgs,1000,0.629,0.6258,1.318140404623946e-05,5.611790543993871e-06,43.9683,0.021991,0.05
2026-05-10 23:54:56,RandomForest,higgs,1000,0.661,0.6589,4.867690274472643e-05,2.2281387086774667e-05,63.9155,0.07594,2.63
2026-05-10 23:55:15,XGBoost,higgs,1000,0.682,0.682,2.776108922464352e-05,1.040063366291721e-05,72.6469,0.049276,0.87
2026-05-10 23:55:36,XGBoost_GPU,higgs,1000,0.674,0.6733,5.2865200226387285e-05,2.5526564212288387e-05,66.8554,0.08136,2.71
2026-05-10 23:56:00,MLP_PyTorch,higgs,1000,0.566,0.5506,4.4950454191423e-05,2.131107316042814e-05,63.5167,0.070589,2.36
2026-05-10 23:56:23,LogisticRegression,higgs,10000,0.6393,0.6345,1.2974145842890709e-05,5.700218034497377e-06,39.2416,0.02122,0.18
2026-05-10 23:56:52,RandomForest,higgs,10000,0.7036,0.7033,0.00011532721891615104,4.818165941900566e-05,101.6522,0.203505,5.64
2026-05-10 23:57:13,XGBoost,higgs,10000,0.6921,0.6919,6.288960341867396e-05,3.703150509956743e-05,96.6491,0.112853,2.56
2026-05-10 23:57:36,XGBoost_GPU,higgs,10000,0.6904,0.6901,9.313977964851701e-05,5.410128204724815e-05,65.0361,0.118715,5.01
2026-05-10 23:58:11,MLP_PyTorch,higgs,10000,0.6011,0.5757,0.0002967297620823317,0.00018554980777063423,90.256,0.427883,15.42
2026-05-10 23:58:35,LogisticRegression,higgs,100000,0.6406,0.6363,3.160141634332216e-05,1.6647659851187164e-05,48.6794,0.044076,1.67
2026-05-10 23:59:55,RandomForest,higgs,100000,0.7233,0.7231,0.001093571677623803,0.0006934278841384497,123.7839,1.966151,55.47
2026-05-11 00:00:21,XGBoost,higgs,100000,0.7189,0.7187,0.000163469791530233,0.00010472481911136097,113.5495,0.292557,7.65
2026-05-11 00:00:47,XGBoost_GPU,higgs,100000,0.7171,0.7169,0.00014712797465900887,8.92721816323484e-05,63.85,0.171124,8.04
2026-05-11 00:04:10,MLP_PyTorch,higgs,100000,0.7127,0.7123,0.0030232833164260398,0.0014463039601168544,95.1629,4.902187,183.74
2026-05-11 00:04:45,LogisticRegression,higgs,500000,0.6422,0.6377,0.00014732500314786228,8.915639175356923e-05,46.7283,0.175995,11.82
2026-05-11 00:13:10,RandomForest,higgs,500000,0.7318,0.7315,0.009119504216367832,0.006198551620218136,118.4767,15.885027,480.94
2026-05-11 00:13:55,XGBoost,higgs,500000,0.737,0.7368,0.0005195927264092877,0.00034549288017276836,119.5568,0.920933,25.99
2026-05-11 00:14:27,XGBoost_GPU,higgs,500000,0.7376,0.7374,0.0002505400211961456,0.00015592521495977056,74.9786,0.292596,12.42
2026-05-11 00:35:52,MLP_PyTorch,higgs,500000,0.7439,0.7433,0.019631607609141195,0.009964912894006828,87.1418,30.651169,1264.52
2026-05-11 00:44:40,LogisticRegression,higgs,1000000,0.642,0.6376,0.000407925710957345,0.00025342366189118044,51.9638,0.461174,30.18
2026-05-11 00:45:53,XGBoost,higgs,1000000,0.7457,0.7455,0.0010479201167567199,0.000714919737457717,117.7858,1.822668,53.99
2026-05-11 00:46:27,XGBoost_GPU,higgs,1000000,0.7447,0.7445,0.00034760825563906976,0.00026926658958431235,67.729,0.316023,15.25
2026-05-11 01:18:28,MLP_PyTorch,higgs,1000000,0.7555,0.7552,0.03058605078781777,0.01436693780596224,95.3817,50.415693,1901.22
2026-05-11 01:21:54,LogisticRegression,higgs,5000000,0.642,0.6375,0.002045095433742695,0.0012452042758747494,47.2645,2.421955,182.85
2026-05-11 01:27:46,XGBoost,higgs,5000000,0.7569,0.7567,0.005956832502197211,0.004233439263375456,110.1862,10.256287,333.51
2026-05-11 01:28:49,XGBoost_GPU,higgs,5000000,0.7571,0.7569,0.000988977875982564,0.0007327639003296487,64.3547,0.820333,44.11
2026-05-11 05:00:35,MLP_PyTorch,higgs,5000000,0.777,0.7768,0.20409802966487894,0.0955938420948747,95.5366,336.724492,12686.65
