timestamp          , model             , dataset, nrows, accuracy, f1    , emissions_kg          , training_time_s
2026-03-31 00:08:31, LogisticRegression, wine   , all  ,   0.9887, 0.9888, 4.223296347048457e-06 ,            0.03
2026-03-31 00:08:41, RandomForest      , wine   , all  ,   0.9832, 0.9831, 8.715435806077275e-06 ,            0.58
2026-03-31 00:08:50, XGBoost           , wine   , all  ,   0.9608, 0.961 , 6.607468000072594e-06 ,            0.24
2026-03-31 00:09:00, XGBoost_GPU       , wine   , all  ,   0.9663, 0.9664, 1.2336161051323063e-05,            1.0
2026-03-31 00:09:16, MLP_PyTorch       , wine   , all  ,   0.9832, 0.9833, 4.204661605142248e-05 ,            5.26
2026-03-31 00:09:30, LogisticRegression, credit , all  ,   0.8104, 0.7713, 2.373714880298436e-05 ,            3.91
2026-03-31 00:09:42, RandomForest      , credit , all  ,   0.8157, 0.7956, 2.0796942747405148e-05,            2.42
2026-03-31 00:09:52, XGBoost           , credit , all  ,   0.8138, 0.7937, 9.509285405358004e-06 ,            0.68
2026-03-31 00:10:02, XGBoost_GPU       , credit , all  ,   0.8128, 0.7927, 1.586102492595404e-05 ,            1.33
2026-03-31 00:10:33, MLP_PyTorch       , credit , all  ,   0.819 , 0.8013, 0.00013127286105165718,           20.49
2026-03-31 00:18:10, LogisticRegression, higgs  , all  ,   0.6417, 0.6372, 0.0023104921061680127 ,          445.95
2026-03-31 00:21:05, XGBoost           , higgs  , all  ,   0.7414, 0.7413, 0.0017335119699285226 ,          162.28
2026-03-31 00:21:54, XGBoost_GPU       , higgs  , all  ,   0.7415, 0.7414, 0.0004930902243364098 ,           38.99
2026-03-31 03:52:42, MLP_PyTorch       , higgs  , all  ,   0.7697, 0.7694, 0.06024079214743947   ,        12635.91
2026-04-07 10:36:36,LogisticRegression,wine,all,0.9887,0.9888,4.854136263169086e-06,0.04
2026-04-11 00:04:34,LogisticRegression,wine,all,0.9887,0.9888,5.44204585669179e-06,0.04
2026-04-11 22:20:05,RandomForest,credit,all,0.8212,0.7992,0.0002690537327195062,20.25
2026-04-11 22:29:12,XGBoost_GPU,wine,all,0.9663,0.9664,1.20224097632926e-05,0.97
2026-04-11 22:30:54,XGBoost_GPU,wine,all,0.9663,0.9664,1.217346121193722e-05,0.93
2026-04-11 22:31:28,XGBoost,wine,all,0.983,0.9833,7.0427909876805835e-06,0.28
2026-04-11 22:32:03,XGBoost,wine,all,0.9887,0.9888,1.0029944532831128e-05,0.72
2026-04-18 13:38:18,LogisticRegression,wine,all,0.9887,0.9888,5.100983283082104e-06,0.04
2026-04-18 13:38:28,RandomForest,wine,all,0.9832,0.9831,1.5184918723721306e-05,1.38
2026-04-18 13:38:38,XGBoost,wine,all,0.9887,0.9888,7.910593031864737e-06,0.39
