timestamp,model,dataset,nrows,accuracy,f1,co2eq_kg,co2eq_codecarbon_kg,cpu_power_hw_w,cpu_energy_hw_wh,training_time_s
2026-04-20 10:00:00,LogisticRegression,wine,all,0.9832,0.9831,0.000012,0.000004,58.2,0.0032,0.21
2026-04-20 10:00:01,LogisticRegression,credit,all,0.8104,0.7713,0.000101,0.000041,57.8,0.1112,5.12
2026-04-20 10:00:02,LogisticRegression,higgs,all,0.6417,0.6372,0.007613,0.003314,60.4,7.867,466.73
2026-04-20 10:01:00,RandomForest,wine,all,0.9887,0.9888,0.000089,0.000031,95.3,0.0089,0.33
2026-04-20 10:01:01,RandomForest,credit,all,0.8221,0.7891,0.000743,0.000261,98.1,0.8234,30.12
2026-04-20 10:02:00,XGBoost,wine,all,0.9887,0.9888,0.000015,0.000005,65.5,0.0021,0.18
2026-04-20 10:02:01,XGBoost,credit,all,0.8198,0.7854,0.000250,0.000088,88.2,0.3472,14.10
2026-04-20 10:02:02,XGBoost,higgs,all,0.7507,0.7505,0.012766,0.007158,110.2,17.012,554.08
2026-04-20 10:03:00,XGBoost_GPU,wine,all,0.9832,0.9831,0.000078,0.000028,74.8,0.0758,2.10
2026-04-20 10:03:01,XGBoost_GPU,credit,all,0.8176,0.7823,0.000290,0.000104,76.3,0.2701,9.35
2026-04-20 10:03:02,XGBoost_GPU,higgs,all,0.7507,0.7505,0.002051,0.001173,79.1,1.572,69.77
2026-04-20 10:04:00,MLP_PyTorch,wine,all,0.9775,0.9772,0.000143,0.000051,82.4,0.0412,1.80
2026-04-20 10:04:01,MLP_PyTorch,credit,all,0.8312,0.8021,0.001821,0.000643,84.1,2.1034,89.43
2026-04-20 10:04:02,MLP_PyTorch,higgs,all,0.7634,0.7628,0.021453,0.007612,86.3,24.312,1012.44
2026-04-20 01:09:14,XGBoost,higgs,1000,0.662,0.6608,3.2386267286606935e-05,1.1892786416472921e-05,77.038,0.057753,0.95
2026-04-20 01:09:25,XGBoost_GPU,higgs,1000,0.674,0.6732,6.162746218461992e-05,2.8651000287026585e-05,73.2459,0.096216,3.04
2026-04-20 01:09:36,XGBoost,higgs,5000,0.6862,0.686,5.3724968421734917e-05,2.6986906728419177e-05,90.3202,0.094895,2.14
2026-04-20 01:09:49,XGBoost_GPU,higgs,5000,0.6822,0.6819,9.65237732273131e-05,5.3752133468612034e-05,68.2578,0.125065,4.94
2026-04-20 01:10:00,XGBoost,higgs,10000,0.7004,0.7003,7.286507891562737e-05,3.9643555612971e-05,96.7644,0.129098,3.12
2026-04-20 01:10:15,XGBoost_GPU,higgs,10000,0.6965,0.6962,0.00011017539689316596,6.397177221234953e-05,67.0598,0.139539,5.87
2026-04-20 01:10:30,XGBoost,higgs,50000,0.7128,0.7125,0.00015536246035247826,9.627242396697713e-05,111.8953,0.276158,7.3
2026-04-20 01:10:47,XGBoost_GPU,higgs,50000,0.7124,0.7121,0.00016059661342641626,9.500204315365464e-05,66.8711,0.194741,8.78
2026-04-20 01:11:06,XGBoost,higgs,100000,0.7183,0.7181,0.00022466737807500228,0.00014683521724485646,115.6942,0.399551,10.76
2026-04-20 01:11:25,XGBoost_GPU,higgs,100000,0.7153,0.7151,0.0001877921234880033,0.00011406601144800922,68.0046,0.22207,10.15
2026-04-20 01:12:09,XGBoost,higgs,500000,0.7325,0.7323,0.0007019372222229907,0.0004670695659564603,120.3438,1.238528,35.52
2026-04-20 01:12:32,XGBoost_GPU,higgs,500000,0.7319,0.7317,0.0002965870930480794,0.0001780951170860477,76.1073,0.345152,14.72
2026-04-20 01:14:15,XGBoost,higgs,1000000,0.7413,0.7411,0.0018218995762497264,0.0012396993740766398,118.8892,3.18026,94.6
2026-04-20 01:14:43,XGBoost_GPU,higgs,1000000,0.7411,0.7409,0.00038485989461741426,0.0002506169016105199,72.4592,0.408255,18.54
2026-04-20 01:22:34,XGBoost,higgs,5000000,0.7566,0.7564,0.008320242266044876,0.005872835240347787,112.1307,14.408647,461.03
2026-04-20 01:23:36,XGBoost_GPU,higgs,5000000,0.7565,0.7563,0.0011861597449586024,0.0008676071734186165,68.8657,1.019166,51.67
2026-04-20 01:40:24,XGBoost,higgs,11000000,0.7607,0.7605,0.017761978878691635,0.01268328426271849,110.025,30.477954,995.64
2026-04-20 01:42:21,XGBoost_GPU,higgs,11000000,0.7607,0.7605,0.002472187794015055,0.0018364836649930546,71.0001,2.098217,104.84
