timestamp,model,dataset,nrows,seed,accuracy,f1,co2eq_kg,co2eq_codecarbon_kg,cpu_power_hw_w,cpu_energy_hw_wh,gpu_energy_wh,ram_energy_wh,training_time_s
2026-05-24 15:44:38,LogisticRegression,higgs,1000,42.0,0.635,0.6295,1.1105132064277652e-05,4.049854236054429e-06,44.6286,0.020355,0.003136,0.005656,0.01
2026-05-24 15:55:38,LogisticRegression,higgs,1000,123.0,0.635,0.6342,1.313167313556592e-05,4.063058834051653e-06,52.1007,0.025644,0.003178,0.005645,0.01
2026-05-24 16:06:13,LogisticRegression,higgs,1000,999.0,0.63,0.6266,1.2534325074624878e-05,4.127857803911621e-06,48.2402,0.023887,0.003404,0.005608,0.01
2026-05-24 15:44:46,RandomForest,higgs,1000,42.0,0.64,0.638,1.6405622221574052e-05,6.592347187706677e-06,48.8099,0.028434,0.006383,0.008242,0.48
2026-05-24 15:55:45,RandomForest,higgs,1000,123.0,0.68,0.6787,1.884537095435304e-05,6.6992179986684365e-06,59.6528,0.034573,0.006598,0.008291,0.49
2026-05-24 16:06:20,RandomForest,higgs,1000,999.0,0.67,0.6646,1.843273663463801e-05,6.9648413756728496e-06,56.8935,0.033146,0.006585,0.008649,0.55
2026-05-24 15:44:52,XGBoost,higgs,1000,42.0,0.66,0.6581,1.564563204442396e-05,6.618506799564842e-06,53.4263,0.026205,0.008068,0.006791,0.22
2026-05-24 15:55:52,XGBoost,higgs,1000,123.0,0.655,0.6551,1.6227321240290257e-05,5.479413555847251e-06,62.9829,0.030915,0.004952,0.006725,0.2
2026-05-24 16:06:27,XGBoost,higgs,1000,999.0,0.68,0.677,1.590029408632468e-05,5.1211999484361496e-06,62.5736,0.030806,0.004441,0.006486,0.16
2026-05-24 15:45:00,XGBoost_GPU,higgs,1000,42.0,0.645,0.6442,2.301524348400738e-05,1.1263695994051038e-05,53.7562,0.034573,0.016312,0.009522,0.71
2026-05-24 15:56:00,XGBoost_GPU,higgs,1000,123.0,0.655,0.6538,2.425802204738112e-05,1.087158077153882e-05,59.0149,0.038464,0.015771,0.009433,0.69
2026-05-24 16:06:35,XGBoost_GPU,higgs,1000,999.0,0.665,0.6615,2.380601512012788e-05,9.586812261324485e-06,59.2731,0.041968,0.010538,0.009977,0.79
2026-05-24 15:45:09,MLP_PyTorch,higgs,1000,42.0,0.565,0.5635,3.095504078361595e-05,1.403098332434846e-05,50.0475,0.049604,0.015749,0.015894,1.86
